Белорусская АЭС-1-СВБУ  АРМ ЦТП-1 (10CKD02)
Имя пользователя: ATE_SMATE, Имя протокола: NVATE_CFDI/JEC 
Создано: 30.01.2020 22:34:01, Выборка: 30.01.20 18:20:00 - 30.01.20 18:50:00
Время	KKS	Знач	Ед.изм	Дост	Описание	
30.01.20 17:52:01,000	10JEC33CT004_XQ01	42.9	°C	дост	Т ХЛДН СПАЕВ 0-100 ГРАД	
30.01.20 17:52:03,000	10JEC21CT842V_XQ01	287	°C	дост	Темп тепл гор петл2 0-400 ГРАД	
30.01.20 17:52:04,000	10JEC31CT821X_XQ01	287	°C	дост	Темп тепл гор петл3 0-400 ГРАД	
30.01.20 17:52:15,000	10JEC33CT001_XQ01	287	°C	дост	Т ТН ХЛД НТК ПЕТ 0-400 ГРАД	
30.01.20 17:52:20,000	10JEC31CT812V_XQ01	287	°C	дост	Темп тепл гор петл3 0-400 ГРАД	
30.01.20 17:52:27,000	10JEC21CT911_XQ01	287	°C	дост	2V3Т ТН ГРЧ НТК ПЕТ 0-400 ГРАД	
30.01.20 17:52:29,000	10JEC11CT911B_XQ01	288	°C	дост	2V3Т ТН ГРЧ НТК ПЕТ 0-400 ГРАД	
30.01.20 17:52:29,000	10JEC41CT842V_XQ01	287	°C	дост	Темп тепл гор петл4 0-400 ГРАД	
30.01.20 17:52:38,000	10JEC41CT932B_XQ01	287	°C	дост	МО Темп тепл гор петл4 0-400 ГРАД	
30.01.20 17:52:40,000	10JEC22CT001_XQ01	285	°C	дост	Т ТН ХЛД НТК ПЕТ 0-400 ГРАД	
30.01.20 17:53:00,000	10JEC21CT921A_XQ01	288	°C	дост	МО Темп тепл гор петл2 0-400 ГРАД	
30.01.20 17:53:06,000	10JEC11CT911_XQ01	288	°C	дост	2V3Т ТН ГРЧ НТК ПЕТ 0-400 ГРАД	
30.01.20 17:53:09,000	10JEC21CT831X_XQ01	288	°C	дост	Темп тепл гор петл2 0-400 ГРАД	
30.01.20 17:53:14,000	10JEC13CT005_XQ01	49.6	°C	дост	Т ХЛДН СПАЕВ 0-100 ГРАД	
30.01.20 17:53:27,000	10JEC21CT911B_XQ01	288	°C	дост	2V3Т ТН ГРЧ НТК ПЕТ 0-400 ГРАД	
30.01.20 17:53:40,000	10JEC13CT002_XQ01	288	°C	дост	Т ТН ХЛД НТК ПЕТ 0-400 ГРАД	
30.01.20 17:53:50,000	10JEC23CT003_XQ01	287	°C	дост	Т ТН ХЛД НТК ПЕТ 0-400 ГРАД	
30.01.20 17:53:53,000	10JEC23CT004_XQ01	49.7	°C	дост	Т ХЛДН СПАЕВ 0-100 ГРАД	
30.01.20 17:56:37,000	10JEC31CT844V_XQ01	49.6	°C	дост	Темп хол сп 0-100 ГРАД	
30.01.20 18:00:44,000	10JEC11CT813X_XQ01	59.5	°C	дост	Темп хол сп 0-100 ГРАД	
30.01.20 18:00:46,000	10JEC11CT813Y_XQ01	59.5	°C	дост	Т ХЛДН СПАЕВ 0-100 ГРАД	
30.01.20 18:00:59,000	10JEC11CT824V_XQ01	53.1	°C	дост	Темп хол сп 0-100 ГРАД	
30.01.20 18:01:00,000	10JEC43CT004_XQ01	42.7	°C	дост	Т ХЛДН СПАЕВ 0-100 ГРАД	
30.01.20 18:03:08,000	10JEC31CT824V_XQ01	49.8	°C	дост	Темп хол сп 0-100 ГРАД	
30.01.20 18:03:21,000	10JEC11CT823X_XQ01	59.5	°C	дост	Темп хол сп 0-100 ГРАД	
30.01.20 18:03:21,000	10JEC31CT844_XQ01	49.7	°C	дост	Темп хол сп 10JEC31 0-100 ГРАД	
30.01.20 18:04:21,000	10JEC11CT813_XQ01	59.5	°C	дост	Темп хол сп 10JEC11 0-100 ГРАД	
30.01.20 18:04:30,000	10JEC11CT823_XQ01	59.5	°C	дост	Темп хол сп 10JEC11 0-100 ГРАД	
30.01.20 18:04:30,000	10JEC13CT004_XQ01	49.8	°C	дост	Т ХЛДН СПАЕВ 0-100 ГРАД	
30.01.20 18:04:30,000	10JEC13CT904_XQ01	49.8	°C	дост	2V3 Т ХЛДН СПАЕВ 0-100 ГРАД	
30.01.20 18:05:42,000	10JEC11CT833_XQ01	59.8	°C	дост	Темп хол сп 10JEC11 0-100 ГРАД	
30.01.20 18:06:27,000	10JEC31CT814_XQ01	50.0	°C	дост	Темп хол сп 10JEC31 0-100 ГРАД	
30.01.20 18:06:38,000	10JEC31CT814V_XQ01	50.0	°C	дост	Темп хол сп 0-100 ГРАД	
30.01.20 18:07:33,000	10JEC11CT834V_XQ01	52.6	°C	дост	Темп хол сп 0-100 ГРАД	
30.01.20 18:07:52,000	10JEC11CT823Y_XQ01	59.5	°C	дост	Т ХЛДН СПАЕВ 0-100 ГРАД	
30.01.20 18:09:00,000	10JEC11CT814V_XQ01	52.7	°C	дост	Темп хол сп 0-100 ГРАД	
